date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:14:25 AM,425,4940.43226190476,4954.33333333333,4554,4940.43226190476,4864.89448357855
1:14:28 AM,426,4839.69476190476,4950.6,4611,4839.69476190476,4759.09047577555
1:14:31 AM,427,4743.91976190476,4666.42857142857,4332,4743.91976190476,4665.96970772501
1:14:34 AM,428,4659.34476190476,4557,4566,4659.34476190476,4583.49309217317
1:14:37 AM,430,4561.47851190476,4713,4713,4561.47851190476,4439.90667928154
1:14:40 AM,433,4454.51101190476,4751,4751,4454.51101190476,4238.32295815894
1:14:43 AM,434,4362.59737554113,3708,3708,4362.59737554113,4164.24165135795
1:14:46 AM,435,4355.22951839827,4069.66666666667,3752,4355.22951839827,4084.92362809067
1:14:49 AM,436,4340.99201839827,3682,3682,4340.99201839827,4010.77247744681
1:14:52 AM,437,4263.01701839827,3769.66666666667,3787,4263.01701839827,3954.80078829818
1:14:55 AM,438,4191.9003517316,3863,3863,4191.9003517316,3930.02114951663
1:14:58 AM,439,4108.8703517316,4088.25,3920.5,4108.8703517316,3949.44614997398
1:15:01 AM,440,4000.72892316017,4211.5,4045,4000.72892316017,4019.37559451729
1:15:04 AM,441,3875.22892316017,4432.5,4432.5,3875.22892316017,4119.25815189447
1:15:07 AM,442,3738.55892316017,4208.375,4198.5,3738.55892316017,4221.82970682865
1:15:10 AM,443,3598.75892316017,4219.4,4318,3598.75892316017,4299.82614404296
1:15:13 AM,444,3509.12142316017,4295.72727272727,4358,3509.12142316017,4325.98334826052
1:15:16 AM,445,3396.21308982684,4245.64285714286,4230.5,3396.21308982684,4279.77067719009
1:15:19 AM,446,3302.44808982684,4156.25,4055.5,3302.44808982684,4167.59138048294
1:15:22 AM,447,3208.13475649351,3718,3718,3208.13475649351,4002.58218077593
1:15:25 AM,450,3107.45475649351,3532,3532,3107.45475649351,3321.94239002467
1:15:28 AM,452,2996.06725649351,3290,3290,2996.06725649351,2844.87292953412
1:15:31 AM,453,2884.29225649351,2503.6,2440,2884.29225649351,2636.45920821402
1:15:34 AM,454,2755.04225649351,2047,2047,2755.04225649351,2453.39496842081
1:15:37 AM,458,2634.76100649351,1979.6,1970,2634.76100649351,1961.81379862592
1:15:40 AM,459,2517.37282467532,1955,1951.5,2517.37282467532,1895.8826970489
1:15:43 AM,460,2397.35312770563,1915.25,1914.5,2397.35312770563,1851.45536923146
1:15:46 AM,462,2269.62098484849,1811.5,1820.5,2269.62098484849,1820.21408774924
1:15:49 AM,463,2142.47098484848,1806.7,1815,2142.47098484848,1826.15878631708
1:15:52 AM,465,2034.32483100233,1883.4,1937,2034.32483100233,1861.72107329348
1:15:55 AM,466,1941.17483100233,1849.4,1857,1941.17483100233,1883.55554619118
1:15:58 AM,467,1856.32483100233,1860.5,1846.5,1856.32483100233,1902.9034950213
1:16:01 AM,468,1815.59483100233,1976,1976,1815.59483100233,1916.50983095119
1:16:04 AM,473,1799.29483100233,1847.5,1847.5,1799.29483100233,1886.32423560065
1:16:07 AM,474,1785.28983100233,1802.75,1782.5,1785.28983100233,1860.13445199958
1:16:10 AM,475,1773.03983100233,1871.63636363636,1886,1773.03983100233,1827.05737704454
1:16:13 AM,476,1761.66661671662,1895.33333333333,1890.5,1761.66661671662,1787.67753719044
1:16:16 AM,478,1754.29161671662,1691,1691,1754.29161671662,1703.52127005646
1:16:19 AM,479,1736.20661671662,1613.25,1595.5,1736.20661671662,1666.48660242272
1:16:22 AM,480,1719.58661671662,1555.07692307692,1538,1719.58661671662,1637.97541850858
1:16:25 AM,481,1703.25411671662,1669,1670.5,1703.25411671662,1621.85859813709
1:16:28 AM,482,1691.02911671662,1593,1593,1691.02911671662,1620.55563732535
1:16:31 AM,484,1672.82911671662,1689,1689,1672.82911671662,1647.39575374783
1:16:34 AM,485,1648.15411671662,1721,1721,1648.15411671662,1665.86398495641
1:16:37 AM,486,1625.42661671662,1699.5,1699.5,1625.42661671662,1681.24776747949
1:16:40 AM,487,1597.97813186813,1710,1710,1597.97813186813,1688.70967830423
1:16:43 AM,488,1567.23646520147,1687.78571428571,1682.5,1567.23646520147,1684.60454831956
1:16:46 AM,489,1544.63646520147,1664,1664,1544.63646520147,1670.05622402124
1:16:49 AM,491,1526.47396520147,1445,1444,1526.47396520147,1618.89439407356
1:16:52 AM,492,1510.15193722944,1551,1551,1510.15193722944,1586.91308921917
1:16:55 AM,493,1488.35193722944,1522.75,1506,1488.35193722944,1553.75299164106
1:16:58 AM,494,1470.55193722944,1616,1605,1470.55193722944,1521.33625771991
1:17:01 AM,495,1446.93527056277,1612,1657.5,1446.93527056277,1490.00926776919
1:17:04 AM,499,1421.76027056277,1354,1354,1421.76027056277,1374.64747360434
1:17:07 AM,500,1398.15193722944,1348.2,1348,1398.15193722944,1348.05574795605
1:17:10 AM,501,1374.90193722944,1322.66666666667,1317.5,1374.90193722944,1322.26838405828
1:17:13 AM,502,1347.12628787879,1280.5,1280.5,1347.12628787879,1297.40585608926
1:17:16 AM,503,1321.50128787879,1239,1239,1321.50128787879,1274.26078975338
1:17:19 AM,504,1300.10128787879,1250,1250,1300.10128787879,1253.79384863656
1:17:22 AM,505,1273.50128787879,1228.63636363636,1213,1273.50128787879,1236.96569632475
1:17:25 AM,507,1246.46378787879,1233,1233,1246.46378787879,1218.06841245984
1:17:28 AM,508,1215.75378787879,1237,1242,1215.75378787879,1217.1610088941
1:17:31 AM,509,1186.72521645022,1216.66666666667,1210,1186.72521645022,1219.17745337008
1:17:34 AM,510,1171.12521645022,1217.5,1217.5,1171.12521645022,1220.52081436671
1:17:37 AM,511,1151.46521645022,1227.33333333333,1229,1151.46521645022,1217.59416036294
1:17:40 AM,512,1132.25331168831,1245,1246,1132.25331168831,1206.80055983768
1:17:43 AM,514,1113.95331168831,1132.27272727273,1113,1113.95331168831,1156.25479905035
1:17:46 AM,515,1096.22831168831,1151.5,1151.5,1096.22831168831,1121.72503387498
1:17:49 AM,516,1078.82831168831,1017,1017,1078.82831168831,1085.25810939559
1:17:52 AM,517,1061.17982683983,1019,1019,1061.17982683983,1050.02959852503
1:17:55 AM,519,1043.53816017316,982,982,1043.53816017316,995.990109261763
1:17:58 AM,520,1026.66316017316,1001.8,1002,1026.66316017316,982.378572497918
1:18:01 AM,521,1009.41982683983,1031.42857142857,1038,1009.41982683983,975.797515813319
1:18:04 AM,522,990.923398268399,1042,1062,990.923398268399,972.512286939856
1:18:07 AM,523,970.456731601732,955,955,970.456731601732,968.788233609417
1:18:10 AM,524,948.456731601732,938.428571428571,939,948.456731601732,960.890703553892
1:18:13 AM,525,928.443095238095,914.5,914.5,928.443095238095,946.2448722699
1:18:16 AM,526,908.884761904762,884.5,884.5,908.884761904762,926.915226312992
1:18:19 AM,527,895.568095238095,902,902,895.568095238095,906.126080003445
1:18:22 AM,528,880.168095238095,875.666666666667,872,880.168095238095,887.101747661539
1:18:25 AM,529,871.268095238095,880.166666666667,884.5,871.268095238095,872.317204703853
1:18:28 AM,531,859.96380952381,899.5,899.5,859.96380952381,852.62862724452
1:18:31 AM,532,846.699523809524,871.8,878,846.699523809524,845.18115453901
1:18:34 AM,533,831.137023809524,847.571428571429,842,831.137023809524,837.635933713698
1:18:37 AM,534,819.387023809524,818,818,819.387023809524,828.721245666652
